//topicID	#numberOfDocs	TopicWords
14	122	consentimento,titular,tratamento,expresso,dados,forma,livre,hipoteses,casos,informado
36	99	dados,pessoais,protecao,tratamento,lei,anteprojeto,forma,privacidade,legislacao,atividades
4	97	dados,titular,tratamento,informacoes,acesso,finalidade,direito,principio,formato,responsavel
15	89	orgao,competente,lei,anteprojeto,normas,criacao,aplicacao,entidade,competencia,pessoais
1	78	dados,transferencia,internacional,protecao,paises,nivel,regras,pais,transferencias,pessoais
10	77	dados,dado,anonimos,pessoa,definicao,pessoal,identificacao,pessoais,conceito,natural
30	72	dados,pessoais,publico,inciso,acesso,publica,publicos,orgaos,entidades,uso
33	60	lei,brasil,pais,nacional,territorio,aplicacao,brasileiros,legislacao,leis,brasileira
32	58	artigo,paragrafo,redacao,unico,seguinte,alteracao,devera,dispositivo,exclusao,entendemos
45	56	responsavel,operador,dados,tratamento,responsaveis,artigo,operadores,obrigacao,operacoes,lei
9	49	fins,liberdade,expressao,jornalisticos,exclusivamente,interpretacao,termo,imprensa,dificil,interpretacoes
23	48	servicos,servico,consentimento,dados,uso,coleta,exemplo,produtos,consumidor,usuarios
48	48	seguranca,titulares,dados,comunicacao,incidente,artigo,danos,casos,incidentes,prejuizo
16	47	seguranca,medidas,pessoais,natureza,podera,tecnologia,estado,sempre,medida,adotadas
47	46	responsabilidade,solidaria,cessionario,cedente,atos,agente,agentes,culpa,civil,acordo
0	44	anos,cumprimento,capacidade,empresas,antes,lei,necessario,idade,administrativos,definir
40	44	prazo,lei,dias,proposta,tempo,cancelamento,bloqueio,razoavel,justificativa,periodo
19	42	definicao,sugerimos,interconexao,tratamento,terceiros,transferencia,exclusao,difusao,comunicacao,transmissao
20	41	direito,pessoas,pessoa,comunicacao,privado,publico,juridicas,juridica,interconexao,livre
49	38	sancoes,caso,forma,sancao,infracao,multa,empresas,empresa,acordo,parte
51	32	pesquisa,data,mercado,inciso,sugestao,sempre,tempo,estatistica,possivel,historica
27	30	tratamento,interesse,dados,responsavel,legitimo,artigo,direitos,interesses,excecao,necessario
26	28	empresas,tempo,autoridade,lei,competente,sugerimos,praticas,implementacao,exigencias,consumidores
24	27	possibilidade,respeito,responsavel,decisao,criterios,artigo,principio,razao,outra,dispositivo
37	26	dados,sensiveis,saude,informacao,tipo,pessoais,discriminacao,biometricos,definicao,vida
7	24	lei,forma,processo,relacao,civil,consumidor,codigo,aplicacao,leis,titular
18	24	deveria,esclarecer,comentarios,disposicao,apropriado,circunstancias,clara,necessario,texto,nessa
43	24	principios,direitos,seguranca,infracoes,defesa,ordem,evitar,previstos,atividades,especifica
28	23	usuario,privacidade,usuarios,informacoes,termos,politicas,uso,forma,modelo,acreditamos
44	23	sugere,orgao,protecao,anteprojeto,atuacao,area,essencial,tecnica,sociedade,setor
6	21	concordo,todos,creio,natural,direito,logo,quer,anteriores,tratar,tange
35	20	importante,termino,legal,dispositivo,cidadaos,eliminacao,mesmos,violacao,transparencia,possivel
8	19	base,anonimizacao,risco,riscos,informacoes,processo,excecao,razao,bases,possivel
2	18	contato,obrigado,criptografia,devida,atual,judicial,presidente,presidenta,avisos,possui
46	18	tratamento,apl,forma,inciso,caso,redacao,dado,possibilidade,contrato,situacoes
31	17	sistema,lei,cliente,coletados,principalmente,coleta,fato,texto,livre,passe
42	17	termo,anonimizacao,dissociacao,processo,somente,tecnicas,outras,existem,substituir,existir
11	16	privacidade,padrao,principio,praticas,boas,tanto,concepcao,organizacionais,privacy,gestao
13	16	organizacao,conforme,forma,sancoes,atividades,artigo,limitar,apresentacao,vi,carta
17	16	informacoes,acesso,artigo,fraude,importante,anteprojeto,usos,registros,caso,prevencao
41	16	empresas,empresa,grupo,economico,melhor,concorrencia,norma,privadas,regime,entende
50	16	dados,protecao,transferencia,europeia,uniao,internacional,empresas,inclusive,modelo,negocios
3	15	serao,inclusao,acredito,haver,protecao,uma,sugiro,devido,abre,limitar
25	15	dados,credito,protecao,acesso,consumidor,atividade,cadastrais,publicos,portanto,prevencao
39	15	internet,rede,hoje,cidadao,entao,redes,algo,dia,grande,fazer
12	14	deveria,abranet,melhor,regular,artigo,acesso,entender,exigir,devendo,entende
22	14	protecao,autoridade,autoridades,poder,administracao,poderes,diferentes,federal,lei,caso
5	11	mensagens,dados,deixar,marketing,receber,relacao,longo,envio,entendido,propagandas
21	11	dados,privacidade,internet,protecao,direitos,pessoais,brasil,direito,internacional,mecanismos
29	11	lei,internet,vista,uso,dispositivos,tendo,coisas,exemplo,texto,funcionalidades
34	11	maneira,acreditamos,caso,mecanismos,lei,exclusao,precisa,criar,industria,empresas
38	11	conteudo,dispositivo,edge,custo,exigir,esclarecer,registro,aqui,ver,sugerimos
