id,name,group,value
TCE1,Escopo e aplicação,1,246
TCE2,"Dados Pessoais, Dados Anônimos e Dados Sensíveis",2,295
TCE3,Princípios,3,91
TCE4,Consentimento,4,336
TCE5,Término do Tratamento,5,68
TCE6,Direitos do Titular,6,158
TCE7,"Comunicação, Interconexão e Uso Compartilhado de Dados",7,88
TCE8,Transferência Internacional de Dados,8,155
TCE9,Responsabilidade dos Agentes,9,115
TCE10,Segurança e Sigilo de Dados Pessoais,10,105
TCE11,Boas Práticas,11,35
TCE12,"Como assegurar estes direitos, garantias e deveres?",12,96
TCE13,Disposições Transitórias,13,40
