"id","name","value"
TCP5027,"ITI - Information Technology Information Council",122
TCP5008,"Câmara Brasileira do Comércio Eletrônico (câmara-e.net)",96
TCP5028,"SindiTele Brasil - SindiTeleBrasil",88
TCP1389,"Associação Brasileira de Internet - ABRANET",86
TCP2292,"Associação Brasileira de Direito da Tecnologia da Informação e das Comunicações (ABDTIC)",79
TCP5007,"Associação da Empresas de Tecnologia da Informação e Comunicação (BRASSCOM)",76
TCP5015,"FEBRABAN",61
TCP5012,"Conselho Empresarial Brasil-Estados Unidos",54
TCP1837,"Centre for Information Policy Leadership",49
TCP5025,"TELEFÓNICA - VIVO",47
TCP5010,"CLARO S.A.",43
TCP5026,"FIESP – Federação das Indústrias do Estado de São Paulo",40
TCP321,"Prof. Marcos",32
TCP5019,"A MOTION PICTURE ASSOCIATION AMÉRICA LATINA",32
TCP1259,"CNseg",29
TCP5011,"Confederação Nacional das Indústrias (CNI)",28
TCP92,"Tarso Cabral Violin",28
TCP19,"joana varon",26
TCP5004,"Associação Brasileira de Empresas de Pesquisa (ABEP)",25
TCP928,"Giovanna Carloni",25
TCP5022,"Rodrigo Velada",24
TCP1343,"Veridiana Alimonti (Intervozes)",23
TCP5020,"Pro Teste",23
TCP175,"JCK",21
TCP5003,"Associação Brasileira de Marketing Direto (ABEMD)",19
TCP5014,"Entertainment Software Association (ESA)",19
TCP2300,"BSA The Software Alliance",18
TCP407,"TV Aberta + Merchant = Peculato",18
TCP2299,"ABINEE Associação Brasileira da Indústria Elétrica e Eletrônica",17
TCP1168,"Luiz Perin Filho",16
TCP391,"gabriela martins",16
TCP5005,"Associação Brasileira de Indústria Elétrica e Eletrônica (ABINEE)",16
TCP5006,"Boa Vista Serviços S.A.",16
TCP998,"Roberto Taufick",16
TCP5016,"FGV-SP, Grupo de Ensino e Pesquisa em Inovação – GEPI",15
TCP5009,"CISCO",14
TCP5017,"IAB Brasil",14
TCP791,"Flavio Costa",13
TCP2302,"Associação da Liberdade Religiosa e Negócios",11
TCP224,"Anderson",10
TCP5013,"Centro de Tecnologia e Sociedade da FGV Direito Rio (CTS-FGV)",10
TCP5024,"Sky Brasil",10
TCP1031,"tagwato",9
TCP1342,"RubemRJ",9
TCP15,"Margareth",9
TCP169,"Gabriel",8
TCP1955,"Grupo de Pesquisa em Políticas Públicas para o Acesso à Informação/GPoPAI da USP",8
TCP680,"Daniel Astone",8
TCP2120,"RafaelC",7
TCP406,"Ana Amelia",7
TCP5021,"O RELX Group",6
TCP839,"névoa",6
TCP857,"danielekfontes",6
TCP1029,"Cláudio Lucena",5
TCP1092,"felipe de ivanoff",5
TCP1826,"gleison melo",5
TCP280,"igo",5
TCP446,"Maurício Coeli",5
TCP803,"katia cavalcante",5
TCP988,"Lucas Zolet",5
TCP1751,"Tibério Sampaio",4
TCP1810,"kaliny aglay",4
TCP1923,"Jhonata Goulart Serafim",4
TCP2150,"Natasha AF",4
TCP222,"Alexandre A. Perdiz",4
TCP2290,"Wellington Cremasco",4
TCP5001,"3M do Brasil Ltda",4
TCP5029,"Associação GSM (GSMA)",4
TCP933,"Carolina Luco",4
TCP953,"Marta Kanashiro",4
TCP992,"Jorge Machado",4
TCP1202,"Lorena Viana",3
TCP1213,"Amanda Arrivabene",3
TCP1400,"Tatiane Souza",3
TCP1409,"Bruno Diego",3
TCP163,"Magno",3
TCP1915,"andremenegazzo",3
TCP1937,"claudiana",3
TCP2229,"Alan",3
TCP239,"drica",3
TCP405,"ellen sartori",3
TCP5018,"Mariana Cunha e Melo",3
TCP5023,"MINISTÉRIO DA FAZENDA Secretaria de Acompanhamento Econômico",3
TCP570,"Marcelo Crespo",3
TCP725,"Marcos Baldin",3
TCP861,"Josimar",3
TCP906,"Márcia P Soldate",3
TCP999,"Sérgio Alves Jr.",3
TCP1012,"jjorge",2
TCP1019,"MVianna",2
TCP102,"Eden Grei",2
TCP1026,"andre malveira",2
TCP105,"Fundação Terra (Anna Bia/PE)",2
TCP1060,"Caroline",2
TCP1111,"Eurico Matos",2
TCP1186,"Ana Flávia Fagundes Ferreira",2
TCP1189,"Elizabeth Torres",2
TCP1191,"Jose Rodrigo Mantovani",2
TCP1196,"Vera Regina",2
TCP1200,"Bernardo Kahl",2
TCP1220,"Jéssica Lustosa",2
TCP1263,"Mariane Tabelini",2
TCP1319,"einstein goncalves",2
TCP1327,"Gabriele Ferreira",2
TCP1335,"Guilherme Jose Couto Horta",2
TCP1338,"Patrícia Costa",2
TCP1345,"gabriellebolina",2
TCP1348,"Nicole Oliveira",2
