id,name,group,value
TCI48,Art. 7,4,59
TCI11,"Art. 2, § 2º, II",1,52
TCI5,Art. 2,1,41
TCI154,Art. 28,8,41
TCI74,Art. 11,4,38
TCI4,Art. 1,1,35
TCI217,Art. 50,12,32
TCI18,"Art. 5, I",2,31
TCI15,Art. 4,1,24
TCI20,"Art. 5, III",2,24
TCI57,Art. 8,4,24
TCI21,"Art. 5, IV",2,23
TCI231,Art. 51,13,22
TCI199,Art. 44,10,21
TCI214,Art. 48,11,20
TCI140,Art. 22,7,19
TCI12,"Art. 2, § 3º",1,18
TCI17,Art. 5,2,18
TCI24,"Art. 5, VII",2,18
TCI196,Art. 42,10,18
TCI232,Art. 52,13,18
TCI142,Art. 23,7,17
TCI54,"Art. 7, § 6º",4,16
TCI118,"Art. 17, IV",6,16
TCI99,Art. 13,2,15
TCI143,Art. 24,7,15
TCI206,Art. 45,10,15
TCI1,ANTEPROJETO DE LEI,0,14
TCI9,"Art. 2, § 2º",1,14
TCI85,Art. 12,2,14
TCI36,Art. 6,3,14
TCI51,"Art. 7, § 3º",4,14
TCI169,Art. 30,8,14
TCI177,Art. 35,9,14
TCI186,Art. 40,9,14
TCI10,"Art. 2, § 2º, I",1,13
TCI19,"Art. 5, II",2,13
TCI49,"Art. 7, § 1º",4,13
TCI76,"Art. 11, II",4,13
TCI126,Art. 18,6,13
TCI7,"Art. 2, II",1,12
TCI107,"Art. 14, § 1º",5,12
TCI114,Art. 17,6,12
TCI135,Art. 19,6,12
TCI166,Art. 29,8,12
TCI173,Art. 31,8,12
TCI6,"Art. 2, I",1,11
TCI16,"Art. 4, § 1º",1,11
TCI37,"Art. 6, I",3,11
TCI40,"Art. 6, IV",3,11
TCI41,"Art. 6, V",3,11
TCI59,Art. 10,4,11
TCI78,"Art. 11, IV",4,11
TCI108,Art. 15,5,11
TCI153,Art. 27,7,11
TCI174,Art. 32,8,11
TCI175,Art. 33,8,11
TCI184,"Art. 39, § 1º",9,11
TCI31,"Art. 5, XIV",2,10
TCI52,"Art. 7, § 4º",4,10
TCI58,Art. 9,4,10
TCI73,"Art. 10, § 4º",4,10
TCI111,"Art. 15, III",5,10
TCI176,Art. 34,9,10
TCI216,Art. 49,11,10
TCI92,"Art. 12, II, c)",2,9
TCI97,"Art. 12, § 2º",2,9
TCI101,"Art. 13, § 2º",2,9
TCI82,"Art. 11, § 1º",4,9
TCI120,"Art. 17, § 2º",6,9
TCI134,"Art. 18, § 4º",6,9
TCI157,"Art. 28, III",8,9
TCI160,"Art. 28, § 1º",8,9
TCI187,"Art. 40, § 1º",9,9
TCI213,Art. 47,10,9
TCI2,Dispõe sobre o trata,0,8
TCI28,"Art. 5, XI",2,8
TCI33,"Art. 5, XVI",2,8
TCI34,"Art. 5, XVII",2,8
TCI100,"Art. 13, § 1º",2,8
TCI39,"Art. 6, III",3,8
TCI45,"Art. 6, IX",3,8
TCI53,"Art. 7, § 5º",4,8
TCI70,"Art. 10, § 1º",4,8
TCI152,Art. 26,7,8
TCI179,"Art. 35, § 2º",9,8
TCI185,"Art. 39, § 2º",9,8
TCI188,Art. 41,9,8
TCI218,"Art. 50, I",12,8
TCI224,"Art. 50, VII",12,8
TCI8,"Art. 2, § 1º",1,7
TCI22,"Art. 5, V",2,7
TCI30,"Art. 5, XIII",2,7
TCI50,"Art. 7, § 2º",4,7
TCI56,"Art. 7, § 8º",4,7
