row_idx	col_idx	log2ratio
1	3	1
1	90	4
1	102	1
1	103	1
1	108	2
1	130	1
1	149	1
1	157	1
1	160	1
1	167	1
1	171	1
1	188	2
1	200	2
1	207	1
1	215	1
1	216	1
1	221	1
1	226	1
2	34	1
2	35	1
2	40	2
2	47	1
2	59	1
2	95	3
2	124	1
2	159	1
2	188	1
2	194	2
2	215	1
2	221	1
3	25	1
3	59	2
3	63	2
3	188	1
4	5	1
4	10	1
4	19	1
4	21	2
4	34	1
4	42	1
4	44	1
4	53	1
4	59	1
4	60	1
4	65	1
4	71	1
4	82	2
4	97	1
4	100	1
4	104	1
4	115	1
4	135	1
4	138	1
4	141	1
4	146	1
4	148	1
4	158	1
4	159	1
4	164	1
4	165	1
4	169	1
4	178	1
4	184	1
4	192	1
4	201	2
4	225	2
5	1	1
5	9	1
5	15	1
5	19	1
5	39	1
5	41	1
5	42	1
5	45	1
5	49	2
5	54	2
5	56	1
5	57	1
5	72	1
5	75	1
5	159	1
5	179	2
5	185	7
5	223	1
5	225	2
6	21	1
6	31	1
6	39	1
6	62	1
6	75	1
6	121	1
6	134	1
7	21	1
7	35	1
7	58	1
7	109	1
7	126	2
7	141	1
7	197	1
8	21	1
8	59	1
8	136	1
8	189	1
8	218	1
9	73	1
9	159	1
9	214	1
9	219	1
10	9	1
10	29	1
10	65	1
10	74	1
10	82	1
10	101	1
10	121	1
10	159	1
10	180	1
10	218	2
10	223	1
11	2	1
11	3	2
11	4	1
11	6	2
11	11	1
11	15	1
11	19	1
11	28	1
11	43	2
11	45	1
11	53	1
11	66	1
11	72	1
11	74	1
11	75	1
11	83	1
11	87	1
11	92	1
11	102	1
11	106	1
11	109	1
11	115	1
11	116	1
11	120	1
11	127	1
11	134	1
11	136	1
11	138	1
11	139	1
11	140	1
11	143	1
11	149	1
11	154	1
11	158	1
11	159	1
11	166	1
11	167	1
11	173	1
11	180	1
11	182	2
11	183	1
11	184	1
11	199	1
11	203	1
11	206	1
11	214	1
11	215	1
11	222	1
11	226	2
12	12	1
12	22	2
12	35	2
12	43	1
12	45	1
12	89	1
12	128	1
12	159	1
12	163	1
12	174	2
12	176	1
12	223	1
13	21	2
13	89	1
13	198	1
14	7	3
14	12	1
14	198	1
14	223	1
15	1	1
15	3	1
15	22	1
15	29	1
15	35	2
15	45	1
15	62	1
15	79	1
15	81	1
15	100	1
15	111	1
15	112	1
15	143	1
15	150	1
15	181	1
16	12	1
16	79	1
16	100	1
16	112	2
16	114	2
16	195	1
17	27	1
17	41	1
17	45	1
17	52	1
17	68	1
17	75	1
17	128	1
17	159	1
17	214	1
17	225	1
18	1	1
18	8	1
18	22	1
18	43	1
18	52	1
18	60	1
18	63	1
18	76	1
18	97	1
18	132	1
18	133	1
18	136	1
18	144	1
