comment_date,freq,freq_acum
2015-01-28,68,68
2015-01-29,45,113
2015-01-30,21,134
2015-02-01,3,137
2015-02-02,1,138
2015-02-03,9,147
2015-02-04,21,168
2015-02-06,3,171
2015-02-10,9,180
2015-02-11,8,188
2015-02-12,7,195
2015-02-17,1,196
2015-02-18,2,198
2015-02-19,1,199
2015-02-20,18,217
2015-02-23,2,219
2015-02-24,6,225
2015-02-25,2,227
2015-02-26,5,232
2015-02-27,5,237
2015-02-28,1,238
2015-03-02,1,239
2015-03-03,4,243
2015-03-04,37,280
2015-03-05,2,282
2015-03-09,4,286
2015-03-10,4,290
2015-03-11,2,292
2015-03-12,4,296
2015-03-13,4,300
2015-03-14,7,307
2015-03-15,11,318
2015-03-16,5,323
2015-03-17,25,348
2015-03-18,10,358
2015-03-19,3,361
2015-03-20,9,370
2015-03-21,1,371
2015-03-23,5,376
2015-03-24,8,384
2015-03-25,6,390
2015-03-27,5,395
2015-03-28,2,397
2015-03-29,11,408
2015-03-30,67,475
2015-03-31,23,498
2015-04-01,20,518
2015-04-02,2,520
2015-04-09,1,521
2015-04-15,1,522
2015-04-21,7,529
2015-04-24,3,532
2015-04-25,1,533
2015-04-27,4,537
2015-04-28,1,538
2015-04-29,13,551
2015-04-30,16,567
2015-05-04,2,569
2015-05-05,3,572
2015-05-07,3,575
2015-05-09,1,576
2015-05-11,5,581
2015-05-12,8,589
2015-05-13,1,590
2015-05-14,5,595
2015-05-18,15,610
2015-05-21,2,612
2015-06-08,8,620
2015-06-09,1,621
2015-06-11,11,632
2015-06-17,5,637
2015-06-18,3,640
2015-06-19,47,687
2015-06-23,1,688
2015-06-24,1,689
2015-06-25,1,690
2015-06-26,2,692
2015-06-29,1,693
2015-07-01,4,697
2015-07-02,112,809
2015-07-03,122,931
2015-07-04,20,951
2015-07-05,11,962
2015-07-06,53,1015
