colors,hcrow,hccol,rowLabel,colLabel
#1F77B4,1,1,ANTEPROJETO DE LEI,Margareth
#FF7F0E,2,2,Dispõe sobre o trata,Giancarlo Boaron
#2CA02C,3,3,A PRESIDENTA DA REPÚBLICA,Joana Varon
#3C5C87,4,4,Art. 1,Jeoman
#D62728,5,5,Art. 2,Pedro Mizukami
#8C564B,6,6,"Art. 2, I",AME
#9467BD,7,7,"Art. 2, II",Revolucionário
#8B3E6B,8,8,"Art. 2, § 1º",MG
#E377C2,9,9,"Art. 2, § 2º",Adriano
#7F7F7F,10,10,"Art. 2, § 2º, I",Mari
#3C7587,11,11,"Art. 2, § 2º, II",Christian Alexandre
#BCBD22,12,12,"Art. 2, § 3º",Tarso Violin
#17BECF,13,13,Art. 3,Jlcosta81
,14,14,"Art. 3, § 1º",Arns
,15,15,Art. 4,Eden Grei
,16,16,"Art. 4, § 1º",Fundação Terra
,17,17,Art. 5,Pessel
,18,18,"Art. 5, I",Jessica
,19,19,"Art. 5, II",Magno
,20,20,"Art. 5, III",Paulo C A
,21,21,"Art. 5, IV",Gabriel
,22,22,"Art. 5, V",JCK
,23,23,"Art. 5, VI",Kaori
,24,24,"Art. 5, VII",MM
,25,25,"Art. 5, VIII",Vilson
,26,26,"Art. 5, IX ",Pedro
,27,27,"Art. 5, X",Alexandre Perdiz
,28,28,"Art. 5, XI",Anderson
,29,29,"Art. 5, XII",Marcelo Saldanha
,30,30,"Art. 5, XIII",Edvaldo Freitas
,31,31,"Art. 5, XIV",Drica
,32,32,"Art. 5, XV",Calebe
,33,33,"Art. 5, XVI",Igo
,34,34,"Art. 5, XVII",Tatiana
,35,35,"Art. 5, XVIII",Prof. Marcos
,36,36,Art. 6,Paulo Rená
,37,37,"Art. 6, I",Lucas Lopes
,38,38,"Art. 6, II",Elis
,39,39,"Art. 6, III",Démerson Dias
,40,40,"Art. 6, IV",Ap
,41,41,"Art. 6, V",Gabriela Martins
,42,42,"Art. 6, VI",Ellen Sartori
,43,43,"Art. 6, VII",Ana Amelia
,44,44,"Art. 6, VIII",Peculato
,45,45,"Art. 6, IX",Maurício Coeli
,46,46,"Art. 6, § 1º",Fabricio Pessôa
,47,47,"Art. 6, § 2º",Guilherme Moraes
,48,48,Art. 7,Marcelo Crespo
,49,49,"Art. 7, § 1º",Cesar Rutowitsch
,50,50,"Art. 7, § 2º",Daniel Astone
,51,51,"Art. 7, § 3º",Bruno Bioni
,52,52,"Art. 7, § 4º",Marcos Baldin
